Snapshots,eval_dataset,Cost_time,Num,Vis,AUC,Mean,Median,,Thresholds,0,1.578947368,3.157894737,4.736842105,6.315789474,7.894736842,9.473684211,11.05263158,12.63157895,14.21052632,15.78947368,17.36842105,18.94736842,20.52631579,22.10526316,23.68421053,25.26315789,26.84210526,28.42105263,30
RESULT_OF_0802_n2_RHD_c1.2_b8_aFalse_vTrue_i3.0w,RHD,72.41386795,2728,all,0.818,7.419,3.118,,,0.000157101,0.235232509,0.518485547,0.68492529,0.773041475,0.822301355,0.854140483,0.876099707,0.892752409,0.905983801,0.916753945,0.926546572,0.934698366,0.94124424,0.946864963,0.951682726,0.956291021,0.96048038,0.963988968,0.967392822
,RHD,72.41386795,2728,part,0.823,5.713,3.082,,,3.53E-05,0.237134741,0.523092954,0.690923286,0.779409314,0.828754746,0.860400484,0.881963463,0.898347351,0.911262527,0.921770445,0.931411473,0.939332527,0.945836856,0.951291942,0.955992646,0.960528429,0.96458412,0.967882269,0.971036759
RESULT_OF_0804_n2_RHD_slim_c1.2_b8_aFalse_vTrue_dTrue_i3.0w,RHD_slim,56.85656881,2617,all,0.848,4.817,2.169,,,0,0.397528977,0.652855869,0.757464927,0.811743727,0.846680132,0.870662518,0.888421857,0.9029423,0.914624161,0.925105082,0.934512437,0.943464891,0.949487781,0.956202122,0.961169642,0.965099987,0.968775588,0.971959896,0.974671107
,RHD_slim,56.85656881,2617,part,0.849,4.784,2.161,,,0,0.398505622,0.654252563,0.759056189,0.813346409,0.848240897,0.872102239,0.889737875,0.904046421,0.915645788,0.926019245,0.935240563,0.944133756,0.950024154,0.956668862,0.961612692,0.965548521,0.969208468,0.972357994,0.97503075
RESULT_OF_0804_n1_RHD_c1.2_b8_aFalse_vTrue_dTrue_i3.0w,RHD,54.67946315,2728,all,0.846,6.513,2.168,,,0,0.393485547,0.651427873,0.756825164,0.811601033,0.846844016,0.870758274,0.888371038,0.902038821,0.914292697,0.924521715,0.933005167,0.94112205,0.947650468,0.953061723,0.957600196,0.961841922,0.964914118,0.968143416,0.970849043
,RHD,54.67946315,2728,part,0.851,4.809,2.137,,,0,0.397233008,0.657614989,0.763496212,0.81832513,0.853349161,0.876906982,0.894212622,0.907610849,0.919658865,0.929564248,0.937805087,0.945792217,0.952042506,0.957229558,0.961624298,0.965679854,0.96867336,0.971753996,0.974343105
RESULT_OF_0806_n1_RS_320_c1.2_b8_aFalse_vTrue_dTrue_i4.0w,RS_320,130.1523454,5728,all,0.828,6.325,3.452,,,0,0.2639166,0.49299182,0.650771482,0.758487962,0.826940343,0.870086792,0.898036379,0.916350758,0.929743615,0.939861,0.947476057,0.9537776,0.958740689,0.962747739,0.966139598,0.969016028,0.971368715,0.973563448,0.975566973
,RS_320,130.1523454,5728,part,0.83,5.519,3.435,,,0,0.264802893,0.49477543,0.653123543,0.761225351,0.829817267,0.872909833,0.900774488,0.918983841,0.93231538,0.942291212,0.949755232,0.955962938,0.960858742,0.964775023,0.968062765,0.970873533,0.97317475,0.975301039,0.977241963
RESULT_OF_0806_n2_RS_320_c1.2_b8_aFalse_vTrue_dTrue_i5.0w,RS_320,125.5252936,5728,all,0.868,4.903,2.428,,,0,0.343467345,0.633429769,0.778980447,0.854432695,0.895060189,0.918919593,0.933642591,0.943768289,0.951666002,0.95839984,0.963437749,0.967627694,0.971077747,0.974278399,0.977088321,0.979233174,0.981294892,0.983032389,0.984445664
,RS_320,125.5252936,5728,part,0.871,4.058,2.415,,,0,0.344920185,0.63623497,0.782284928,0.857933363,0.898538799,0.922247115,0.936737257,0.946729152,0.95445512,0.961025337,0.966006503,0.97004284,0.973399768,0.976463331,0.979225646,0.981310447,0.983321041,0.984979025,0.986335667
